Company,"CIK Code",Ticker,Market,"S&P Index","Russell Index","Bus Street 1","Bus Street 2",City,County,"State Code","State Name","State Region",Zip,"Bus Phone","Parent CIK","Parent Name","SIC Code","SIC Description","NAICS Code","NAICS Description","Filer Act","Audit Opinion Key",Auditor,"Auditor Key","Auditor PCAOB Registration Number","Auditor Affiliate","Auditor Affiliate Key","Auditor Affiliate PCAOB Registration Number","Auditor City","Auditor State Code","Auditor State Name","Auditor State Region","Year Ended Date","Year Ended (Ideal)","Month Ended (Ideal)","Signature Date",Source,"Source Date","Going Concern","Going Concern Issue Key List","Going Concern Issue Phrase List","Total CAMS in Opinion","Accounting Basis","Is Integrated Audit","Is Additional Opinion","Additional Signature Date 1","Additional Signature Date 2","Additional Signature Date 3","Additional Signature Date 4","Additional Signature Date 5","Auditor Since Year","Auditor Since Code","Predecessor Auditor Since Year","Predecessor Auditor Since Code","Filer Status","Fees Fiscal Year Ended","Audit Fees ($)","Non-Audit Fees ($)","Total Fees ($)","Stock Price ($)","Stock Price Date","Market Cap ($)","Financials Date","Revenue ($)","Earnings ($)","Book Value ($)","Assets ($)",,,,,
"FIDELITY COVINGTON TRUST",945908,,,,,"245 SUMMER STREET",,BOSTON,Suffolk,MA,MASSACHUSETTS,"US New England",02210,"(617) 563-7000",,,,,525990,"Other Financial Vehicles",40,572645,"PricewaterhouseCoopers LLP",1,0238,,,,Boston,MA,MASSACHUSETTS,"US New England",2025-07-31,2025,07,2025-09-12,N-CSR,2025-09-22,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PUTNAM FUNDS TRUST",1005942,,,,,"100 FEDERAL STREET",,BOSTON,Suffolk,MA,MASSACHUSETTS,"US New England",02110,"(617) 760-1000",,,,,525990,"Other Financial Vehicles",40,574693,"PricewaterhouseCoopers LLP",1,0238,,,,Boston,MA,MASSACHUSETTS,"US New England",2025-08-31,2025,08,2025-10-20,N-CSR,2025-10-30,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RBB FUND, INC.",831114,,,,,"615 E. MICHIGAN ST.",,MILWAUKEE,Milwaukee,WI,WISCONSIN,"US Midwest",53202,"(609) 731-6256",,,,,525990,"Other Financial Vehicles",40,575205,"PricewaterhouseCoopers LLP",1,0238,,,,Philadelphia,PA,PENNSYLVANIA,"US Mid Atlantic",2025-08-31,2025,08,2025-10-30,N-CSR,2025-11-07,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,2025,"999,000","303,300","1,302,300",,,,,,,,,,,,,,
"FT 12563",2080164,,,,,"120 EAST LIBERTY DRIVE, SUITE 400","C/O FIRST TRUST PORTFOLIOS L.P.",WHEATON,DuPage,IL,ILLINOIS,"US Midwest",60187,"(630) 765-8000",,,,,,,33,575717,"Deloitte & Touche LLP",3,0034,,,,Chicago,IL,ILLINOIS,"US Midwest",2025-11-17,2025,11,2025-11-17,487,2025-11-17,No,,,,"GAAP - US",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Federated Hermes Equity Funds",745968,,,,,"4000 ERICSSON DRIVE",,WARRENDALE,Allegheny,PA,PENNSYLVANIA,"US Mid Atlantic",15086-7561,"(800) 341-7400",,,,,525990,"Other Financial Vehicles",40,575973,"KPMG LLP",4,0185,,,,Boston,MA,MASSACHUSETTS,"US New England",2025-09-30,2025,09,2025-11-21,N-CSR,2025-11-24,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,2025,"360,185",0,"360,185",,,,,,,,,,,,,,
"AIM TAX-EXEMPT FUNDS (INVESCO TAX-EXEMPT FUNDS)",909466,,,,,"11 GREENWAY PLAZA","SUITE 1000",HOUSTON,Harris,TX,TEXAS,"US Southwest",77046,"(713) 626-1919",,,,,525990,"Other Financial Vehicles",40,564198,"PricewaterhouseCoopers LLP",1,0238,,,,Houston,TX,TEXAS,"US Southwest",2025-02-28,2025,02,2025-04-23,N-CSR,2025-05-02,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,2025,"782,195","265,416","1,047,611",,,,,,,,,,,,,,
"AMERICAN CENTURY INVESTMENT TRUST",908406,,,,,"4500 MAIN STREET",,"KANSAS CITY",Jackson,MO,MISSOURI,"US Southeast",64111,"(816) 531-5575",,,,,525990,"Other Financial Vehicles",40,565990,"Deloitte & Touche LLP",3,0034,,,,"Kansas City",MO,MISSOURI,"US Southeast",2025-03-31,2025,03,2025-05-19,N-CSR,2025-05-30,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,2025,"200,370",0,"200,370",,,,,,,,,,,,,,
"Apollo S3 Private Markets Fund",1978024,,,,,"9 W. 57TH STREET",,"NEW YORK","New York",NY,"NEW YORK","US Mid Atlantic",10019,"(212) 515-3450",,,,,525990,"Other Financial Vehicles",40,566246,"Deloitte & Touche LLP",3,0034,,,,"New York",NY,"NEW YORK","US Mid Atlantic",2025-03-31,2025,03,2025-05-28,N-CSR,2025-06-04,No,,,,"GAAP - US",No,No,,,,,,,,,,,2025,"100,000","3,000","103,000",,,,,,,,,,,,,,
"PIMCO FUNDS",810893,,,,,"650 NEWPORT CENTER DRIVE",,"NEWPORT BEACH",Orange,CA,CALIFORNIA,"US West",92660,"(949) 720-6000",,,,,525990,"Other Financial Vehicles",40,566502,"PricewaterhouseCoopers LLP",1,0238,,,,"Kansas City",MO,MISSOURI,"US Southeast",2025-03-31,2025,03,2025-05-28,N-CSR,2025-06-06,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,2025,"6,451,129","6,500","6,457,629",,,,,,,,,,,,,,
"Prospect Enhanced Yield Fund",2027076,,,,,"10 EAST 40TH STREET, 42ND FLOOR",,"NEW YORK","New York",NY,"NEW YORK","US Mid Atlantic",10016,"(212) 448-0702",,,,,525990,"Other Financial Vehicles",40,567526,"Deloitte & Touche LLP",3,0034,,,,"New York",NY,"NEW YORK","US Mid Atlantic",2025-05-29,2025,05,2025-06-26,N-2/A,2025-06-26,No,,,,"GAAP - US",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"JOHN HANCOCK BOND TRUST",315554,,,,,"C/O JOHN HANCOCK FUNDS","200 BERKELEY STREET",BOSTON,Suffolk,MA,MASSACHUSETTS,"US New England",02116,"(617) 663-3000",,,,,525990,"Other Financial Vehicles",40,569062,"PricewaterhouseCoopers LLP",1,0238,,,,Boston,MA,MASSACHUSETTS,"US New England",2025-05-31,2025,05,2025-07-11,N-CSR,2025-07-24,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,2025,"219,451","17,453","236,904",,,,,,,,,,,,,,
"SKYBRIDGE OPPORTUNITY FUND",1181848,,,,,"SKYBRIDGE CAPITAL","527 MADISON AVENUE, 4TH FLOOR","NEW YORK","New York",NY,"NEW YORK","US Mid Atlantic",10022,"(212) 485-3100",,,,,525990,"Other Financial Vehicles",40,569318,"KPMG LLP",4,0185,,,,"New York",NY,"NEW YORK","US Mid Atlantic",2025-03-31,2025,03,2025-07-29,N-2,2025-07-29,No,,,,Other,No,Yes,,,,,,,,,,,2025,"507,880","66,800","574,680",,,,,,,,,,,,,,
"FIDELITY COVINGTON TRUST",945908,,,,,"245 SUMMER STREET",,BOSTON,Suffolk,MA,MASSACHUSETTS,"US New England",02210,"(617) 563-7000",,,,,525990,"Other Financial Vehicles",40,572646,"Deloitte & Touche LLP",3,0034,,,,Boston,MA,MASSACHUSETTS,"US New England",2025-07-31,2025,07,2025-09-12,N-CSR,2025-09-22,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Calamos ETF Trust",1579881,,,,,"2020 CALAMOS COURT",,NAPERVILLE,DuPage,IL,ILLINOIS,"US Midwest",60563,"(630) 245-8394",,,,,525910,"Open-End Investment Funds",40,572902,"Deloitte & Touche LLP",3,0034,,,,Chicago,IL,ILLINOIS,"US Midwest",2025-07-31,2025,07,2025-09-22,N-CSR,2025-09-25,No,,,,"GAAP - US",No,No,,,,,,,,,,,2025,"373,843","91,187","465,030",,,,,,,,,,,,,,
"PUTNAM FUNDS TRUST",1005942,,,,,"100 FEDERAL STREET",,BOSTON,Suffolk,MA,MASSACHUSETTS,"US New England",02110,"(617) 760-1000",,,,,525990,"Other Financial Vehicles",40,574694,"PricewaterhouseCoopers LLP",1,0238,,,,Boston,MA,MASSACHUSETTS,"US New England",2025-08-31,2025,08,2025-10-20,N-CSR,2025-10-30,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RBB FUND, INC.",831114,,,,,"615 E. MICHIGAN ST.",,MILWAUKEE,Milwaukee,WI,WISCONSIN,"US Midwest",53202,"(609) 731-6256",,,,,525990,"Other Financial Vehicles",40,575206,"PricewaterhouseCoopers LLP",1,0238,,,,Philadelphia,PA,PENNSYLVANIA,"US Mid Atlantic",2025-08-31,2025,08,2025-10-30,N-CSR,2025-11-07,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,2025,"999,000","303,300","1,302,300",,,,,,,,,,,,,,
"FT 12554",2079650,,,,,"120 EAST LIBERTY DRIVE, SUITE 400","C/O FIRST TRUST PORTFOLIOS L.P.",WHEATON,DuPage,IL,ILLINOIS,"US Midwest",60187,"(630) 765-8000",,,,,,,33,575718,"Deloitte & Touche LLP",3,0034,,,,Chicago,IL,ILLINOIS,"US Midwest",2025-11-17,2025,11,2025-11-17,487,2025-11-17,No,,,,"GAAP - US",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Franklin Solana Trust",2057388,,,,,"ONE FRANKLIN PARKWAY",,"SAN MATEO","San Mateo",CA,CALIFORNIA,"US West",94403,"(650) 312-2000",,,6221,"Commodity Contracts Brokers and Dealers",,,33,576230,"PricewaterhouseCoopers LLP",1,0238,,,,"San Francisco",CA,CALIFORNIA,"US West",2025-09-23,2025,09,2025-09-26,424B3,2025-11-26,No,,,,"GAAP - US",No,Yes,,,,,,2025,Since,,,,,,,,,,,,,,,,,,,,,
"ALLSPRING FUNDS TRUST",1081400,,,,,"1415 VANTAGE PARK DRIVE","3RD FLOOR",CHARLOTTE,Mecklenburg,NC,"NORTH CAROLINA","US Southeast",28203,"(833) 568-4255",,,,,525910,"Open-End Investment Funds",40,559335,"KPMG LLP",4,0185,,,,Boston,MA,MASSACHUSETTS,"US New England",2025-01-31,2025,01,2025-03-27,N-CSR,2025-03-28,No,,,,"GAAP - US",No,No,,,,,,,,,,,2025,"253,060","13,740","266,800",,,,,,,,,,,,,,
"AIM TAX-EXEMPT FUNDS (INVESCO TAX-EXEMPT FUNDS)",909466,,,,,"11 GREENWAY PLAZA","SUITE 1000",HOUSTON,Harris,TX,TEXAS,"US Southwest",77046,"(713) 626-1919",,,,,525990,"Other Financial Vehicles",40,564199,"PricewaterhouseCoopers LLP",1,0238,,,,Houston,TX,TEXAS,"US Southwest",2025-02-28,2025,02,2025-04-23,N-CSR,2025-05-02,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,2025,"782,195","265,416","1,047,611",,,,,,,,,,,,,,
"AMERICAN CENTURY INVESTMENT TRUST",908406,,,,,"4500 MAIN STREET",,"KANSAS CITY",Jackson,MO,MISSOURI,"US Southeast",64111,"(816) 531-5575",,,,,525990,"Other Financial Vehicles",40,565991,"Deloitte & Touche LLP",3,0034,,,,"Kansas City",MO,MISSOURI,"US Southeast",2025-03-31,2025,03,2025-05-19,N-CSR,2025-05-30,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,2025,"200,370",0,"200,370",,,,,,,,,,,,,,
"PIMCO FUNDS",810893,,,,,"650 NEWPORT CENTER DRIVE",,"NEWPORT BEACH",Orange,CA,CALIFORNIA,"US West",92660,"(949) 720-6000",,,,,525990,"Other Financial Vehicles",40,566503,"PricewaterhouseCoopers LLP",1,0238,,,,"Kansas City",MO,MISSOURI,"US Southeast",2025-03-31,2025,03,2025-05-28,N-CSR,2025-06-06,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,2025,"6,451,129","6,500","6,457,629",,,,,,,,,,,,,,
"Nuveen Minnesota Quality Municipal Income Fund",1607997,NMS,,,,"333 WEST WACKER DRIVE",,CHICAGO,Cook,IL,ILLINOIS,"US Midwest",60606,"(312) 917-8146",,,,,525990,"Other Financial Vehicles",40,569831,"PricewaterhouseCoopers LLP",1,0238,,,,Chicago,IL,ILLINOIS,"US Midwest",2025-05-31,2025,05,2025-07-28,N-CSR,2025-08-06,No,,,,"GAAP - US",No,No,,,,,,,,,,,2025,"26,600",0,"26,600",,,,,,,,,,,,,,
"FIDELITY COVINGTON TRUST",945908,,,,,"245 SUMMER STREET",,BOSTON,Suffolk,MA,MASSACHUSETTS,"US New England",02210,"(617) 563-7000",,,,,525990,"Other Financial Vehicles",40,572647,"Deloitte & Touche LLP",3,0034,,,,Boston,MA,MASSACHUSETTS,"US New England",2025-07-31,2025,07,2025-09-12,N-CSR,2025-09-22,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prudential Government Money Market Fund, Inc.",67590,,,,,"655 BROAD STREET","6TH FLOOR",NEWARK,Essex,NJ,"NEW JERSEY","US Mid Atlantic",07102-4077,"(973) 802-5032",,,,,525910,"Open-End Investment Funds",40,573415,"PricewaterhouseCoopers LLP",1,0238,,,,"New York",NY,"NEW YORK","US Mid Atlantic",2025-07-31,2025,07,2025-09-18,N-CSR,2025-10-01,No,,,,"GAAP - US",No,No,,,,,,,,,,,2025,"54,454",0,"54,454",,,,,,,,,,,,,,
"INVESCO QQQ TRUST, SERIES 1",1067839,QQQ,,,,"3500 LACEY ROAD","SUITE 700","DOWNERS GROVE",DuPage,IL,ILLINOIS,"US Midwest",60515,"(800) 983-0903",,,,,525990,"Other Financial Vehicles",40,574439,"PricewaterhouseCoopers LLP",1,0238,,,,Chicago,IL,ILLINOIS,"US Midwest",2025-09-30,2025,09,2025-10-24,N-30B-2,2025-10-24,No,,,,"GAAP - US",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RBB FUND, INC.",831114,,,,,"615 E. MICHIGAN ST.",,MILWAUKEE,Milwaukee,WI,WISCONSIN,"US Midwest",53202,"(609) 731-6256",,,,,525990,"Other Financial Vehicles",40,575207,"PricewaterhouseCoopers LLP",1,0238,,,,Philadelphia,PA,PENNSYLVANIA,"US Mid Atlantic",2025-08-31,2025,08,2025-10-30,N-CSR,2025-11-07,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,2025,"999,000","303,300","1,302,300",,,,,,,,,,,,,,
"Franklin Solana Trust",2057388,,,,,"ONE FRANKLIN PARKWAY",,"SAN MATEO","San Mateo",CA,CALIFORNIA,"US West",94403,"(650) 312-2000",,,6221,"Commodity Contracts Brokers and Dealers",,,33,576231,"PricewaterhouseCoopers LLP",1,0238,,,,"San Francisco",CA,CALIFORNIA,"US West",2025-09-23,2025,09,2025-09-26,424B3,2025-11-26,No,,,,"GAAP - US",No,Yes,,,,,,2025,Since,,,,,,,,,,,,,,,,,,,,,
"ALLSPRING FUNDS TRUST",1081400,,,,,"1415 VANTAGE PARK DRIVE","3RD FLOOR",CHARLOTTE,Mecklenburg,NC,"NORTH CAROLINA","US Southeast",28203,"(833) 568-4255",,,,,525910,"Open-End Investment Funds",40,559336,"KPMG LLP",4,0185,,,,Boston,MA,MASSACHUSETTS,"US New England",2025-01-31,2025,01,2025-03-27,N-CSR,2025-03-28,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,2025,"253,060","13,740","266,800",,,,,,,,,,,,,,
"AIM TAX-EXEMPT FUNDS (INVESCO TAX-EXEMPT FUNDS)",909466,,,,,"11 GREENWAY PLAZA","SUITE 1000",HOUSTON,Harris,TX,TEXAS,"US Southwest",77046,"(713) 626-1919",,,,,525990,"Other Financial Vehicles",40,564200,"PricewaterhouseCoopers LLP",1,0238,,,,Houston,TX,TEXAS,"US Southwest",2025-02-28,2025,02,2025-04-23,N-CSR,2025-05-02,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,2025,"782,195","265,416","1,047,611",,,,,,,,,,,,,,
"AMERICAN CENTURY INVESTMENT TRUST",908406,,,,,"4500 MAIN STREET",,"KANSAS CITY",Jackson,MO,MISSOURI,"US Southeast",64111,"(816) 531-5575",,,,,525990,"Other Financial Vehicles",40,565992,"Deloitte & Touche LLP",3,0034,,,,"Kansas City",MO,MISSOURI,"US Southeast",2025-03-31,2025,03,2025-05-19,N-CSR,2025-05-30,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,2025,"200,370",0,"200,370",,,,,,,,,,,,,,
"Coller Secondaries Private Equity Opportunities Fund",1969180,,,,,"950 3RD AVE",,"NEW YORK","New York",NY,"NEW YORK","US Mid Atlantic",10022,"(212) 822-4259",,,,,525990,"Other Financial Vehicles",40,566248,"PricewaterhouseCoopers LLP",1,0238,,,,"New York",NY,"NEW YORK","US Mid Atlantic",2025-03-31,2025,03,2025-05-30,N-CSR,2025-06-04,No,,,,"GAAP - US",No,No,,,,,,,,,,,2025,"120,000",0,"120,000",,,,,,,,,,,,,,
"PIMCO FUNDS",810893,,,,,"650 NEWPORT CENTER DRIVE",,"NEWPORT BEACH",Orange,CA,CALIFORNIA,"US West",92660,"(949) 720-6000",,,,,525990,"Other Financial Vehicles",40,566504,"PricewaterhouseCoopers LLP",1,0238,,,,"Kansas City",MO,MISSOURI,"US Southeast",2025-03-31,2025,03,2025-05-28,N-CSR,2025-06-06,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,2025,"6,451,129","6,500","6,457,629",,,,,,,,,,,,,,
"CPG Vintage Access Fund VI, LLC",1953146,,,,,"C/O MACQUARIE WEALTH ADVISERS, LLC","660 FIFTH AVENUE","NEW YORK","New York",NY,"NEW YORK","US Mid Atlantic",10103,"(212) 317-9200",,,,,525990,"Other Financial Vehicles",40,566760,"PricewaterhouseCoopers LLP",1,0238,,,,Philadelphia,PA,PENNSYLVANIA,"US Mid Atlantic",2025-03-31,2025,03,2025-06-09,N-CSR,2025-06-10,No,,,,"GAAP - US",No,No,,,,,,,,,,,2025,"85,000",0,"85,000",,,,,,,,,,,,,,
"T. Rowe Price High Yield Fund, Inc.",754915,,,,,"1307 POINT STREET",,BALTIMORE,"Baltimore City",MD,MARYLAND,"US Mid Atlantic",21231,"(410) 345-2000",,,,,525920,"Trusts, Estates, and Agency Accounts",40,569064,"PricewaterhouseCoopers LLP",1,0238,,,,Baltimore,MD,MARYLAND,"US Mid Atlantic",2025-05-31,2025,05,2025-07-18,N-CSR,2025-07-24,No,,,,"GAAP - US",No,No,,,,,,,,,,,2025,"34,043",0,"34,043",,,,,,,,,,,,,,
"Prudential Government Money Market Fund, Inc.",67590,,,,,"655 BROAD STREET","6TH FLOOR",NEWARK,Essex,NJ,"NEW JERSEY","US Mid Atlantic",07102-4077,"(973) 802-5032",,,,,525910,"Open-End Investment Funds",40,573416,"PricewaterhouseCoopers LLP",1,0238,,,,"New York",NY,"NEW YORK","US Mid Atlantic",2025-07-31,2025,07,2025-09-18,N-CSR,2025-10-01,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,2025,"54,454",0,"54,454",,,,,,,,,,,,,,
"AQR Funds",1444822,,,,,"ONE GREENWICH PLAZA",,GREENWICH,Fairfield,CT,CONNECTICUT,"US New England",06830,"(203) 742-3600",,,,,525910,"Open-End Investment Funds",40,575976,"PricewaterhouseCoopers LLP",1,0238,,,,"New York",NY,"NEW YORK","US Mid Atlantic",2025-09-30,2025,09,2025-11-20,N-CSR,2025-11-24,No,,,,"GAAP - US",No,No,,,,,,,,,,,2025,"422,300","197,990","620,290",,,,,,,,,,,,,,
"ALLSPRING FUNDS TRUST",1081400,,,,,"1415 VANTAGE PARK DRIVE","3RD FLOOR",CHARLOTTE,Mecklenburg,NC,"NORTH CAROLINA","US Southeast",28203,"(833) 568-4255",,,,,525910,"Open-End Investment Funds",40,559337,"KPMG LLP",4,0185,,,,Boston,MA,MASSACHUSETTS,"US New England",2025-01-31,2025,01,2025-03-27,N-CSR,2025-03-28,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,2025,"253,060","13,740","266,800",,,,,,,,,,,,,,
"AMERICAN CENTURY INVESTMENT TRUST",908406,,,,,"4500 MAIN STREET",,"KANSAS CITY",Jackson,MO,MISSOURI,"US Southeast",64111,"(816) 531-5575",,,,,525990,"Other Financial Vehicles",40,565993,"Deloitte & Touche LLP",3,0034,,,,"Kansas City",MO,MISSOURI,"US Southeast",2025-03-31,2025,03,2025-05-19,N-CSR,2025-05-30,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,2025,"200,370",0,"200,370",,,,,,,,,,,,,,
"PIMCO FUNDS",810893,,,,,"650 NEWPORT CENTER DRIVE",,"NEWPORT BEACH",Orange,CA,CALIFORNIA,"US West",92660,"(949) 720-6000",,,,,525990,"Other Financial Vehicles",40,566505,"PricewaterhouseCoopers LLP",1,0238,,,,"Kansas City",MO,MISSOURI,"US Southeast",2025-03-31,2025,03,2025-05-28,N-CSR,2025-06-06,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,2025,"6,451,129","6,500","6,457,629",,,,,,,,,,,,,,
"Ellington Credit Co",1560672,EARN,NYSE,,,"53 FOREST AVENUE",,"OLD GREENWICH",Fairfield,CT,CONNECTICUT,"US New England",06870,"(203) 698-1200",,,6798,"Real Estate Investment Trusts",525990,"Other Financial Vehicles",40,567273,"PricewaterhouseCoopers LLP",1,0238,,,,"New York",NY,"NEW YORK","US Mid Atlantic",2025-03-31,2025,03,2025-06-23,10-K,2025-06-23,No,,,1,"GAAP - US",No,No,,,,,,2012,Since,,,"Non-Accelerated Filer",,,,,,,,,,,,,,,,,,
"Advisors Disciplined Trust 2287",2052285,,,,,"8100 E. 22ND ST. N. BLDG 800, SUITE 102",,WICHITA,Sedgwick,KS,KANSAS,"US Midwest",67226-2350,"(316) 477-2946",,,,,,,33,568809,"Deloitte & Touche LLP",3,0034,,,,Denver,CO,COLORADO,"US West",2025-07-18,2025,07,2025-07-18,487,2025-07-18,No,,,,"GAAP - US",No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"T. Rowe Price High Yield Fund, Inc.",754915,,,,,"1307 POINT STREET",,BALTIMORE,"Baltimore City",MD,MARYLAND,"US Mid Atlantic",21231,"(410) 345-2000",,,,,525920,"Trusts, Estates, and Agency Accounts",40,569065,"PricewaterhouseCoopers LLP",1,0238,,,,Baltimore,MD,MARYLAND,"US Mid Atlantic",2025-05-31,2025,05,2025-07-18,N-CSR,2025-07-24,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,2025,"34,043",0,"34,043",,,,,,,,,,,,,,
"ADVISORS SERIES TRUST",1027596,,,,,"U.S BANCORP FUND SERVICES, LLC","615 E MICHIGAN STREET",MILWAUKEE,Milwaukee,WI,WISCONSIN,"US Midwest",53202,"(626) 914-7235",,,,,525910,"Open-End Investment Funds",40,569577,"Deloitte & Touche LLP",3,0034,,,,Milwaukee,WI,WISCONSIN,"US Midwest",2025-02-28,2025,02,2025-04-29,N-CSR/A,2025-08-01,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,2025,"125,000","25,000","150,000",,,,,,,,,,,,,,
"ALLSPRING FUNDS TRUST",1081400,,,,,"1415 VANTAGE PARK DRIVE","3RD FLOOR",CHARLOTTE,Mecklenburg,NC,"NORTH CAROLINA","US Southeast",28203,"(833) 568-4255",,,,,525910,"Open-End Investment Funds",40,574697,"KPMG LLP",4,0185,,,,Boston,MA,MASSACHUSETTS,"US New England",2025-08-31,2025,08,2025-10-23,N-CSR,2025-10-30,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RBB FUND, INC.",831114,,,,,"615 E. MICHIGAN ST.",,MILWAUKEE,Milwaukee,WI,WISCONSIN,"US Midwest",53202,"(609) 731-6256",,,,,525990,"Other Financial Vehicles",40,575209,"PricewaterhouseCoopers LLP",1,0238,,,,Philadelphia,PA,PENNSYLVANIA,"US Mid Atlantic",2025-08-31,2025,08,2025-10-30,N-CSR,2025-11-07,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,2025,"999,000","303,300","1,302,300",,,,,,,,,,,,,,
"ALLSPRING FUNDS TRUST",1081400,,,,,"1415 VANTAGE PARK DRIVE","3RD FLOOR",CHARLOTTE,Mecklenburg,NC,"NORTH CAROLINA","US Southeast",28203,"(833) 568-4255",,,,,525910,"Open-End Investment Funds",40,559338,"KPMG LLP",4,0185,,,,Boston,MA,MASSACHUSETTS,"US New England",2025-01-31,2025,01,2025-03-27,N-CSR,2025-03-28,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,2025,"253,060","13,740","266,800",,,,,,,,,,,,,,
"LEGG MASON PARTNERS INSTITUTIONAL TRUST",889512,,,,,"LEGG MASON & CO., LLC","620 EIGHTH AVENUE","NEW YORK","New York",NY,"NEW YORK","US Mid Atlantic",10018,1-877-721-1926,,,,,525990,"Other Financial Vehicles",40,563178,"PricewaterhouseCoopers LLP",1,0238,,,,Baltimore,MD,MARYLAND,"US Mid Atlantic",2025-02-28,2025,02,2025-04-17,N-CSR,2025-04-29,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,2025,"160,218","40,000","200,218",,,,,,,,,,,,,,
"AMERICAN CENTURY INVESTMENT TRUST",908406,,,,,"4500 MAIN STREET",,"KANSAS CITY",Jackson,MO,MISSOURI,"US Southeast",64111,"(816) 531-5575",,,,,525990,"Other Financial Vehicles",40,565994,"Deloitte & Touche LLP",3,0034,,,,"Kansas City",MO,MISSOURI,"US Southeast",2025-03-31,2025,03,2025-05-19,N-CSR,2025-05-30,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,2025,"200,370",0,"200,370",,,,,,,,,,,,,,
"PIMCO FUNDS",810893,,,,,"650 NEWPORT CENTER DRIVE",,"NEWPORT BEACH",Orange,CA,CALIFORNIA,"US West",92660,"(949) 720-6000",,,,,525990,"Other Financial Vehicles",40,566506,"PricewaterhouseCoopers LLP",1,0238,,,,"Kansas City",MO,MISSOURI,"US Southeast",2025-03-31,2025,03,2025-05-28,N-CSR,2025-06-06,No,,,,"GAAP - US",No,Yes,,,,,,,,,,,2025,"6,451,129","6,500","6,457,629",,,,,,,,,,,,,,
"T. Rowe Price Government Money Fund, Inc.",316968,,,,,"1307 POINT STREET",,BALTIMORE,"Baltimore City",MD,MARYLAND,"US Mid Atlantic",21231,"(410) 345-2000",,,,,525920,"Trusts, Estates, and Agency Accounts",40,569066,"PricewaterhouseCoopers LLP",1,0238,,,,Baltimore,MD,MARYLAND,"US Mid Atlantic",2025-05-31,2025,05,2025-07-18,N-CSR,2025-07-24,No,,,,"GAAP - US",No,No,,,,,,,,,,,2025,"25,444",0,"25,444",,,,,,,,,,,,,,
"Skybridge G II Fund",1520568,,,,,"C/O SKYBRIDGE CAPITAL II, LLC","527 MADISON AVENUE, 16TH FLOOR","NEW YORK","New York",NY,"NEW YORK","US Mid Atlantic",10022,"(212) 485-3100",,,,,525990,"Other Financial Vehicles",40,569322,"KPMG LLP",4,0185,,,,"New York",NY,"NEW YORK","US Mid Atlantic",2025-03-31,2025,03,2025-07-29,N-2,2025-07-29,No,,,,Other,No,Yes,,,,,,,,,,,2025,"182,820","57,370","240,190",,,,,,,,,,,,,,
"DEUTSCHE DWS SECURITIES TRUST",88048,,,,,"875 THIRD AVENUE",,"NEW YORK","New York",NY,"NEW YORK","US Mid Atlantic",10022-6225,"(212) 454-4500",,,,,525920,"Trusts, Estates, and Agency Accounts",40,569578,"Ernst & Young LLP",2,0042,,,,Boston,MA,MASSACHUSETTS,"US New England",2025-05-31,2025,05,2025-07-23,N-CSR,2025-08-01,No,,,,"GAAP - US",No,No,,,,,,,,,,,2025,"44,111","5,969","50,080",,,,,,,,,,,,,,
